Name of Product,Batch No,Manufactured By,Reporting Month & Year
Folic Acid Tablets IP 5 mg,T20072,"M/s. Trugen Pharmaceuticals Pvt. Ltd., Vill. Tejjupur, Near Chodiala Rly Station, Roorkee, Distt. Haridwar, Uttarakhand â?? 247661",01-07-2021
Glimepiride Tablets IP 1 mg,T20053,"M/s. Trugen Pharmaceuticals Pvt. Ltd. Vill-Tejjupur, Near Chodiala Rly Station, Roorkee, Distt. Haridwar, Uttarakhand -247661",01-07-2021
Sodium Valproate Gastro Resistant Tablets IP 200 mg,SVT871,"M/s. Unicure India Ltd., Noida â?? 201301, Uttar Pradesh",01-07-2021
Norfloxacin Tablets IP 400 mg,NT-802,"M/s. Unicure India Ltd. C-21, 22 & 23, Sector- 3, Noida, Uttar Pradesh - 201301",01-07-2021
Amoxycillin Capsule IP 500 mg,YAT91042,"M/s. Yoluri Formulation Pvt. Ltd. Sy No.: 296/7/6, I.D.A., Bollaram, Sangareddy Dist: 502325, Telangana",01-07-2021
(Levoziv -500) Levofloxacin Tablets I.P. 500 mg,420-1087,"M/s. Zee Laboratories Ltd. Behind 47, Industrial Area, Paonta Sahib, Himachal Pradesh - 173025",01-07-2021
DRMET FORTE G1 (Glimepiride & Metformin Hydrochloride SR Tablets),TN-2830,"M/s. Neptune Life Science Pvt. Ltd., 100-B, EPIP, Phase-II, Thana, Baddi-173205, Himachal Pradesh",01-07-2021
Brutab-400 (Ibuprofen Tablets IP 400 mg),BRU18007,"M/s. Neutec Healthcare Pvt. Ltd., E-698, DSIIDC Industrial Area, Narela, Delhi- 110040",01-07-2021
Cefixime Dispersible Tablets IP (Cefimax-100 DT),20D-BT016,"M/s. Orison Pharma International, Khari, Mauza-Ogli, Kala Amb, Himachal Pradesh - 173030",01-07-2021
Ramipril Tablets IP (ORMIPRO-2.5),KM19001,M/s. Ortin Laboratories Ltd. 275 & 278 (part) I.D.A. Pashamailaram Medak Distt. Telangana -502307,01-07-2021
Albendazole tablets IP 400 mg (ZEEBEE - Tablet),JDT0047,"M/s. Syncom Healthcare Ltd., Dehradun, Uttarakhand-248197",01-07-2021
Amlodipine Besilate Tablets IP 5 mg (AMLORACE-5),GLL19018,"M/s. IBN Herbals, Khasra No 63, Vill- Juddi Kalan, Baddi-173205, Dist- Solan, Himachal Pradesh",01-07-2021
Calcium & Vitamin D3 Tablets I.P. (CALGIO-D3),LTA-6957,"M/s. Lifevision Healthcare, Plot No. 140-141, E.P.I.P., Phase-1, Jharmajri, Baddi, Dist.- Solan, Himachal Pradesh - 174103",01-07-2021
"Calcium Carbonate, Magnesium Oxide, Manganese Sulphate, Zinc & Vitamin D3 Tablets",MT191327,"M/s. Mascot Health Series Pvt. Ltd., Plot No. 79, 80, Sector - 6A, IIE, Sidcul, Haridwar- Uttarakhand -249403",01-07-2021
Cosmic-AZ Tablets,MT-1911208,"M/s. Medox Lifesciences, Plot No- 222-223, Phase- III, Ind. Area, Sansarpur- Terrace, Distt. Kangra, Himachal Pradesh - 176501",01-07-2021
TEMPNIL-500 (Paracetamol Tablets IP 500 mg),20NT0404,"M/s. Nuclotec Remedies Pvt. Ltd. 14, Milestone, Rudrapur-Kashipur Road, Gadarpur, Distt.-U.S. Nagar, Uttarakhand â?? 263152",01-07-2021
Norfloxacin Tablets IP 400 mg (Ridnor-400),RID-1925,"M/s. RIDLEY LIFE SCIENCE PVT. LTD. D- 1651, DSIDC, Indl. Complex, Narela, Delhi- 110040",01-07-2021
Quinine Sulphate Tablets I.P. 300 mg,T8296,"M/s. Bharat Parenterals Ltd. Vill Haripura, Ta. Savil, Dist.- Vadodara - 391520, Gujarat",01-07-2021
Rabeprazole Sodium Gastro Resistant Tablets IP (RABGIO-20),LTA-7123,"M/s. Lifevision Healthcare (a WHO-GMP Certified Company) Plot no.140-141, E.P.I.P. Phase-1, Jharmajri, Baddi, dist. Solan, Himachal Pradesh -174103",01-07-2021
Calastravit -500 (Calcium with Vitamin D3 Tablets IP),MT20013,"M/s. Maa Pharma Tech, Survey No. 915/2, Block Part B, Jetalpur Pirana Road, At & Post. Girmatha Village, Tal- Daskroi, Dist. Ahmedabad â?? 382425, Gujarat",01-07-2021
Cefoperazone for Injection I.P. 1000 mg,CS-0016,"M/s. Sunvet Pharma Private Limited, Village: Upper Moginand, Nahan Road, Kala Amb, Distt. Sirmour 173030, Himachal Pradesh",01-07-2021
Orvastin-40 (Atorvastatin Tablets I.P. 40 mg),P-0C0154,"M/s. Morepen Laboratories Ltd., Plot No. 12B, Sector-2, Parwanoo, Dist. Solan, Himachal Pradesh â?? 173220",01-07-2021
Closantel 15% Oral Solution (WORM- GO ORAL SOLUTION),CLP-443,"M/s. Saibliss Drugs & Pharmaceuticals 66-67, Ind.Area, Ponta Sahib, Distt. Sirmour, Himachal Pradesh",01-07-2021
FloxidinTM VET ? 100 ml (Enrofloxacin Injection I.P. 10% VET),FN2220046,"M/s. Samrudh Pharmaceuticals Pvt. Ltd., Plot No. J-174, J-168 & J- 168/1 MIDC, Tarapur, Thane â?? 401506, Maharashtra",01-07-2021
Absorbent Gauze,9,"M/s. Sri Sanjeevi Natchiyar Surgicals, 2/181- D, Vayakattu Street, Samusigapuram â?? 626102 (via), Rajapalyam, Tamilnadu",01-07-2021
Ampicillin 500 mg (Ampicillin Capsules I.P.),475,"M/s. Super Pharma Products., 13 A & C, Industrial Area, Maksi Road, Ujjain, Madhya Pradesh",01-07-2021
Remdesivir for Injection,BREMD210001,"M/s. Teena Labs Ltd. Plot No. 41,S.V. Co- Operative Industrial Estate, Bachupally (V & M), Medchal-Malkajgiri, District Telangana State-500090",01-07-2021
Liposomal Amphotericin B Injection 50 mg (ABHOPE INJ.),A18021003,"M/s. Bharat Serums and Vaccines Ltd. Plot No. K-27, Anand Nagar, Add.MIDC, (E) Ambernath-421501, Taluka: Ambernath City, District: Thane-Zone 6, Maharashtra",01-07-2021
Amphotericin B Lipid Complex Injection I.V. (AMPHOLIP 50 MG/10 ML),R310019,"M/s. BHARAT SERUMS AND VACCINS LIMITED Plot No. K-27, Additional M.I.D.C., Ambernath (E) 421501, Maharashtra",01-07-2021
Remdesivir for Injection 100 mg/vial (CIPREMI),R310019,"M/s. CIPLA LTD. Plot No. G-84/1, Tarapur, M.I.D.C., Boisar, Dist, Palghar, Maharashtra- 401506",01-07-2021
Fexofenadine Tablets I.P. 120 mg,CT-8321220,"M/s. Clevus Lifesciences, Near Apple Terminal Market, Sector - 6, Parwanoo, Himachal Pradesh â?? 173220",01-07-2021
Enalapril Maleate Tablets IP (GNAP-2.5 TABLETS),CT-201041,"M/s. CMG BIOTECH PVT. LTD 58, Industrial Area, Phase III, Sansarpur Terrace, Himachal Pradesh - 176501",01-07-2021
Telmicept 40 (Telmisartan Tablets I.P. 40 mg),C21T479003,"M/s. Concept Pharmaceuticals Ltd., A - 28/3, MIDC, Chikalthana, Aurangabad â?? 431006, Maharashtra",01-07-2021
K-Life (Oral Rehydration Salts I.P.),KL2001,"M/s. Danish Healthcare (P) Ltd., 76/27- 28 Industrial Estate, Maxi Road, Ujjain â?? 456010, Madhya Pradesh",01-07-2021
Paracetamol Tablets I.P. 500 mg (Biocin),BCN2002,"M/s. Danish Healthcare (P) Ltd. 76/27-28, Industrial Estate, Maxi Road, Ujjain, Madhya Pradesh â?? 456010",01-07-2021
RINGOLATE 500 ml (Compound Sodium Lactate Inj. I.P. 500 ml (Ringer Lactate Solution for Injection I.P),2.00E+09,"M/s. Denis Chem Lab Limited, 457, Chhatral, Ta. Kalol, Dist. Gandhinagar, Gujarat â?? 382729",01-07-2021
OZOPINE ? 10 (Olanzapine Tablets IP 10 mg),DGTA12266,"M/s. Digital Vision, 176, Mauza Ogli, Nahan Road, Kala-Amb, Distt. Sirmour, Himachal Pradesh- 173030",01-07-2021
Methylergometrin e Tablets IP 0.125 mg,1166-01,"M/s. Hab Pharmaceuticals & Research Limited, 10, Pharmacity, SIDCUL, Selaqui, Dehradun- 248011, Uttarakhand",01-07-2021
Cefixime Dispersible Tablets I.P. (Cefexi-100),BIG -137,"M/s. Indo-Gulf Pharmaceuticals (unit of I.G. Pharma Ltd.), 12.4 km, Meerut Road, Roorkee, Distt- Haridwar, Uttarakhand",01-07-2021
Piroxicam Capsules IP 20 mg PIROCAM-20 CAPSULES,PC0014,"M/s. OMEGA PHARMA, Khasra No.482, Saliyar, Roorkee-247667, Haridwar, Uttarakhand.",01-08-2021
NORFLOXACIN TABLETS IP 400 MG,GPT9412,"M/s. OMEGA PHARMA, Khasra No.482, Saliyar, Roorkee, Haridwar, Uttarakhand - 247667.",01-08-2021
OXYTOCIN INJECTION I.P.,OTC-232A,"M/s. Pushkar Pharma, Kheri, Kala-Amb-173030, Himachal Pradesh.",01-08-2021
"Doulcet-M Tablets, (Levocetrizine Dihydrochloride & Montelukast Sodium)",UDT-20163C,"M/s. Ultra Drugs Pvt. Ltd., Manpura, Nalagarh, Distt.-Solan, Himachal Pradesh.",01-08-2021
BETAMETHASONE SODIUM PHOSPHATE TABLETS IP 0.5 mg (BETNECON),VNT-19L17,"M/s. Venus Biosciences Pvt. Ltd., Jharmajri, Baddi, Solan-173205, Himachal Pradesh.",01-08-2021
Atenolol Tablets IP 50 mg,ATTJ20002,"M/s. Vivek Pharmachem (India) Ltd., EPIP, Bari Brahmana, Jammu-181133.",01-08-2021
Acivir-200 DT (Aciclovir Dispersible Tablets I.P. 200 mg),SA91192,"M/s. Cipla Ltd., Kumrek, Rangpo, Sikkim 737132.",01-08-2021
Dispersible Paracetamol Tablets B.P. 125 mg,T200558,"M/s. Micron Phamaceuticals, 2117, A-2, Phase III, G.I.D.C, Vapi - 396195 Gujarat.",01-08-2021
Paracetamol Tablets IP 500 mg. (TEMPNIL-500),20NT0404,"M/s. Nuclotec Remedies Pvt. Ltd. 14 Mile Stone, Rudrapur-Kashipur Road, Gadarpur, U.S. Nagar, Uttarakhand - 263152.",01-08-2021
Paracetamol Tablets IP 500 mg. (TEMPNIL-500),20NT0310,"M/s. Nuclotec Remedies Pvt. Ltd. 14 Mile Stone, Rudrapur-Kashipur Road, Gadarpur, U.S. Nagar, Uttarakhand - 263152.",01-08-2021
Absorbent Cotton Wool I.P.,C150520,"M/s. Shanti Surgicals Pvt. Ltd., G-28, Panki Industrial Area, Site No. 1, Kanpur, Uttar Pradesh - 208022.",01-08-2021
Pregabalin Capsules IP 75 mg,T20056,"M/s. Trugen Pharmaceuticals Pvt. Ltd., Tejjupur, Roorkee, Dist. Haridwar, Uttarakhand.",01-08-2021
Atenolol Tablets I.P. 50 mg.,ATTJ20002,"M/s. Vivek Pharmachem (India) Ltd., EPIP, Bari Brahmana, Jammu-181133.",01-08-2021
Ciprofloxacin Tablets IP 500 mg,CPT20005,"M/s. Vivek Pharmachem (India) Ltd., NH-8, Chimanpura, Amer, Jaipur, Rajasthan - 303102.",01-08-2021
Atorvastatin Tablets I.P. 20 mg.,AVBT806,"M/s. Unicure India Ltd., C-21, 22 & 23, Sector-3, Noida-201301, Gautam Budh Nagar, Uttar Pradesh.",01-08-2021
Favimax - 400 (Favipiravir Tablets 400 mg),TP-0421907,"M/s. Max Relief Health Care, Vill. - Anji, Solan, Himachal Pradesh â?? 173212.",01-08-2021
Favimax - 400 (Favipiravir Tablets 400 mg),TP-0421903,"M/s. Max Relief Health Care, Vill. - Anji, Solan, Himachal Pradesh â?? 173212.",01-08-2021
DEXTROMETHORP HAN HYDROBROMIDE SYRUP IP 30MG/5ML,GL0015,"M/s. OMEGA PHARMA, Khasra No.482, Saliyar, Roorkee-247667, Haridwar, Uttarakhand.",01-08-2021
DEXTROMETHORP HAN HYDROBROMIDE SYRUP IP 30MG/5ML,GL0016,"M/s. OMEGA PHARMA, Khasra No.482, Saliyar, Roorkee-247667, Haridwar, Uttarakhand.",01-08-2021
Bupropion Hydrochloride Extended Release Tablets USP 150 mg (BUPIDEP-150 ER TABLETS),CT-12330321,"M/s. Clevus Lifesciences, Near Apple Terminal Market, Sector-6, Parwanoo-173220, Himachal Pradesh.",01-08-2021
AFFTITUDE HAND RUB,HI-102,"M/s. HERBS INDIA J-2977, DSIIDC, Narela Indl.Area, New Delhi-110040.",01-08-2021
ACECLOFENAC IP,MIACE085420,"M/s. Magma Industries Limited C-24 to 28, UPSIDC Industrial Area, Begrajpur, Muzaffarnagar, Uttar Pradesh - 251203.",01-08-2021
Oxytocin as per test for identification,-,Not applicable,01-08-2021
Ranitidine Tablet 150 mg (ACITEK-150),AT1A020,"M/s. Actinova Pvt. Ltd, Mauza Sansiwala, Barottwala, Tehsil- Kasauli, Solan, Himachal Pradesh.",01-08-2021
Dexamethasone Sodium Phosphate IP,APL/02020/E-21,"M/s. Anuh Pharma Ltd., M/s. Great Pacific Exports Pvt. Ltd., Navi Mumbai â?? 400703.",01-08-2021
Phenytoin Sodium Injection 50mg / ml,P0492,"M/s. Bharat Parenterals Ltd., Vill. Haripura, Ta. Savli, Dist. Vadodara -391520 Gujarat.",01-08-2021
Folic Acid & Ferrous Sulphate Tablets I.P. (IFA Large),86,"M/s. Deep Pharma, Khedut Sabha Building, Dholka â?? 382225, Dist. Ahmedabad, Gujarat.",01-08-2021
Folic Acid & Ferrous Sulphate Tablets I.P. (IFA Large),17,"M/s. Deep Pharma, Khedut Sabha Building, Dholka â?? 382225, Dist. Ahmedabad.",01-08-2021
Folic Acid & Ferrous Sulphate Tablets I.P. (IFA Large),85,"M/s. Deep Pharma, Khedut Sabha Building, Dholka â?? 382225, Dist. Ahmedabad.",01-08-2021
Folic Acid & Ferrous Sulphate Tablets I.P. (IFA Large),154,"M/s. Deep Pharma, Khedut Sabha Building, Dholka â?? 382225, Dist. Ahmedabad.",01-08-2021
Folic Acid & Ferrous Sulphate Tablets I.P. (IFA Large),150,"M/s. Deep Pharma, Khedut Sabha Building, Dholka â?? 382225, Dist. Ahmedabad.",01-08-2021
"Cofset - AT Syrup, (Ambroxol Hydrochloride, Terbutaline Sulphate, Guaiphenesin & Menthol Syrup, 100 ml)",DVLD950,"M/s. Digital Vision, 176, Mauza Ogli, Nahan Road, Kala-Amb, Distt. Sirmour, Himachal Pradesh â?? 173030.",01-08-2021
Atorvastatin Tablets I.P. 20 mg.,AVAT21001,"M/s. Galpha Laboratories Ltd. Vill. Thana, Baddi, Himachal Pradesh - 173205.",01-08-2021
"Life Plus Hand Sanitizer (Alcohol 70% v/v, Chlorhexidine Gluconate Soln 2.5% w/v)",Not applicable,"Not printed; Life Plus Healthcare Pvt. Ltd., Head Office: 18 Ganesh Chandra Avenue, Kolkata-700013.",01-08-2021
Fluvir (Oseltamivir Phosphate Oral Suspension I.P. 12mg/ ml),GD20430A,"M/s. Hetero Healthcare Limited, AIIDC Industrial Growth Centre, Changsari, Kamrup, Assam â?? 781101.",01-08-2021
Hydrocortisone Sodium Succinate Injection I.P.,HDI121A,"M/s. Himalaya Meditek Pvt. Ltd., Plot No. 35&36, Pharmacity, Selaqui Industrial Area, Dehradun, Uttarakhand - 248197.",01-08-2021
Norfloxacin Tablets I.P. 400 mg,T-23680,"Jackson Laboratories Pvt. Ltd., 22-24, Majitha Road, Bye Pass, Amritsar-143001",01-09-2021
DIVIRON-50 TABLETS (DICLOFENAC SODIUM TABLETS IP 50 mg),T-23089,"Jackson Laboratories Pvt. Ltd., 22-24, Majitha Road, Bye Pass, Amritsar-143001",01-09-2021
Diclofenac Sodium Prolonged Release Tablets I.P.,IDM20020,"IBN Herbals (Curetech Formulations Pvt. Ltd.), Khasra No.63, Vill. Juddi Kalan, Baddi, Solan, Himachal Pradesh",01-09-2021
Olmesartan Medoxomil Tablets IP Olmesartan Medoxomil I.P. 40mg,20S1GTA060,"SYNOKEM Pharmaceuticals Ltd., Plot No: 35-36, Sector-6A, I.I.E. Sidcul, Ranipur (BHEL), Haridwar-249403",01-09-2021
Atenolol Tablets IP 50 mg,ATTJ19006,"Vivek Pharmachem (India) Ltd., EPIP, Bari Brahmana, Jammu-181133",01-09-2021
Atenolol Tablets IP 50 mg,ATTJ21001,"Vivek Pharmachem (India) Ltd., EPIP, Bari Brahmana, Jammu-181133",01-09-2021
Paracetamol Tablets IP 650 mg.,FDR3F004,"ZIM LABORATORIES LIMITED, B-21/22, MIDC Area, Kalmeshwar-441501, Nagpur, Maharashtra",01-09-2021
Progesterone Soft Gelatin Capsules 200 mg (ENDOGEST 200),BG0006A,"Steril-Gene Life Sciences (P) Ltd., No.45, Mangalam Main Road, Mangalam Village, Villianur Commune, Puducherry-605110",01-09-2021
Loperamide Hydrochloride Tablets IP 2 mg. (LOMOCARE),LCT-2009,"Suprex Laboratories, II-C, Industrial Area, Maxi Road, Ujjain, Madhya Pradesh",01-09-2021
Gentamicin Injection IP ? 2ml,87602,"Chemtex Speciality Ltd., Kolkata-700046",01-09-2021
Folic Acid & Ferrous Sulphate Tablets I.P. (IFA Large),84,"Deep Pharma, Khedut Sabha Building, Dholka ? 382225, Dist. Ahmedabad",01-09-2021
Sterile Hypodermic Syringe 5ml,19704,"Gurumangalam International, Rancharda-382115, Ta: Kalol, Dist: Gandhinagar, Gujarat",01-09-2021
Fluoxetine Capsules IP 20 mg,I-21800,"Jackson Laboratories Pvt. Ltd., 22-24, Majitha Road, Bye Pass, Amritsar-143001",01-09-2021
HAND CLEANSER HAND RUB INSTANT PROTECTION FIGHT GERMS SOFT HANDS pH BALANCED,TPT GOV-2428,"Terrace Pharmaceuticals (P) Ltd., 3-B(a), Phase-III, Industrial Area, Sansarpur Terrace, Kangra, Himachal Pradesh-176501",01-09-2021
OXYTOCIN INJECTION IP,1021-01,"HAB PHARMACEUTICALS & RESEARCH LIMITED, 10, Pharmacity, SIDCUL, Selaqui, Dehradun-248011",01-09-2021
OXYTOCIN INJECTION IP,BILLF210125,"Infinity Laboratories Pvt. Ltd., Village Behra, Gulabgarh-Behra Road, P.O. Rampur Sainia, Tehsil Derabassi-140507, Punjab",01-09-2021
CEFIXIME DISPERSIBLE TABLETS IP 200 MG,T0037,"Zest Pharma, Plot No.275, Sector F, Sanwer Road, Indore-452015",01-09-2021
Favipiravir Tablets 400 mg. (FAVIMAX-400),TP-0421903,"Maxrelief Healthcare, Vill.-Anji, Solan, Himachal Pradesh-173212",01-09-2021
Alstasan Hand-Rub (Alcohol Based Hand Sanitizer),CD021,"Modern Health Care, 782/15, North Street, Chatrapatti-626102, Rajapalayam, Tamil Nadu",01-09-2021
BISACODYL GASTRO - RESISTANT TABLETS IP 5 MG,C-0L0933,"MOREPEN LABORATORIES LIMITED, Unit-V, Plot No.12-C, Sector-2, Parwanoo, Solan, H.P.-173220",01-09-2021
Budesonide Nebuliser Suspension BP (BUPICORT 0.5 MG/2 ML),RS0059,"Aishwarya Healthcare, Village Thane, Baddi, Himachal Pradesh-173205",01-09-2021
LORAZEPAM INJECTION IP,RS1071,"Aishwarya Healthcare, Village Thane, Baddi, Himachal Pradesh-173205",01-09-2021
Pantojack-40 (Pantoprazole Gastro- Resistant Tablets IP 40 mg),APL/01091/F-21,"Anuh Pharma Ltd., Great Pacific Exports Pvt. Ltd., Plot No.D-5/8 & 5/9, TTC, MIDC Turbhe, Navi Mumbai-400703",01-09-2021
I.V. Cannula with Wings & Injection Port,1081909,"Bio-Med Healthcare Products Pvt. Ltd., Unit-II, Plot No. 62-65, Sector 6A, SIDCUL, Haridwar-249403",01-09-2021
"AQUA FRESH HAND RUB (Alcohol 75%, Glycerol 2%, Twin Chain Quats 0.2%)",Not applicable,"Bliss Chemicals Pvt. Ltd., Mumbai",01-09-2021
Pantoprazole & Domperidone Tablets (PENTALOC-D),JK19006,"CADILA PHARMACEUTICALS LIMITED, Industrial Growth Centre, Samba-184121, Jammu & Kashmir",01-09-2021
Paracetamol Tablets IP (CAREMOL TABLETS),CLT-14398,"Caremax Formulations, Plot No.56 & 61, Industrial Area, Phase-III, Sansarpur Terrace, Kangra (H.P.)-176501",01-09-2021
Combine Dressing Pad B.P. -1980,ALI2163AC,"Celon Laboratories Pvt. Ltd., Plot No.2, ALEAP Industrial Estate, Gajularamaram, Medchal District-500090, Telangana",01-09-2021
Sterile Hypodermic Syringe 5ml,19709,"Gurumangalam International, Rancharda-382115, Ta: Kalol, Dist: Gandhinagar, Gujarat",01-09-2021
Sterile Hypodermic Syringe 5ml,19717,"Gurumangalam International, Rancharda-382115, Ta: Kalol, Dist: Gandhinagar, Gujarat",01-09-2021
Sterile Hypodermic Syringe 5ml,19702,"Gurumangalam International, Rancharda-382115, Ta: Kalol, Dist: Gandhinagar, Gujarat",01-09-2021
Zolam 0.25 (Alprazolam Tablets I.P. 0.25 mg),HLI282B,"Himalaya Meditek Pvt. Ltd., Plot No.35 & 36, Pharmacity, Selaqui Industrial Area, Dehradun-248197",01-09-2021
Prednisolone Sodium Phosphate IP,702620,"Karnataka Antibiotics & Pharmaceuticals Limited, Plot No.14, II Phase, Peenya, Bangalore-560058",01-09-2021
SODIUM CHLORIDE AND DEXTROSE INJECTION IP 0.9% W/V & 5% W/V,FFS2003B0154,"Pharma Impex Laboratories Pvt. Ltd., South Uttarbhag, Ramnagar, Baruipur, Dist. South 24PGS, WB-743387",01-09-2021
"Rabeprazole Injection IP, 20 mg WFI",PE3AA14,"Pure & Cure Healthcare Ltd., Plot No.26A, 27-30, Sector-8A, I.I.E., SIDCUL, Ranipur, Haridwar-249403",01-09-2021
Ambilon 50 (Amphotericin B Liposome Injection 50 mg),T1113A0,"Pure & Cure Healthcare Ltd., Plot No.26A, 27-30, Sector-8A, I.I.E., SIDCUL, Ranipur, Haridwar-249403",01-09-2021
Doxylamine Succinate & Pyridoxine Hydrochloride Tablets,PF8BI02,"Pure & Cure Healthcare Pvt. Ltd., Plot No. 26A, 27-30, Sector-8A, I.I.E., SIDCUL, Haridwar-249403",01-09-2021
OXYTOCIN INJECTION IP,OTC-233A,"PUSHKAR PHARMA, Bhandariwala, Kheri, Kala-Amb-173030, Himachal Pradesh",01-09-2021
Budesonide Nebuliser Suspension BP (0.5 mg/2 ml) (BUDELIFE RESPULES,OTC-256A,"PUSHKAR PHARMA, Bhandariwala, Kheri, Kala-Amb-173030, Himachal Pradesh",01-09-2021
Dexamethasone Sodium Phosphate Injection I.P.,DT-72,"Rathi Laboratories (Hindustan) Pvt. Ltd., Industrial Area, Patna - 800013, Bihar",01-09-2021
LEVOFLOXACIN HEMIHYDRATE IP,S07,"Son Research Cosmetic, B-55, Kh no.30/5, Libasthan, Industrial Area, Samaypur, Delhi-42",01-09-2021
Pantoprazole Gastro- resistant tablets IP,PFT20015MB,"Sri Ram Healthcare Pvt Ltd, 81-C/2, EPIP-I, Jharmajri, Baddi, Solan, Himachal Pradesh-173205",01-09-2021
Ciprofloxacin Hydrochloride Tablets IP 500 mg,C21C470,"Stadmed Private Limited, 15, Jawpore Road, Kolkata-500020",01-09-2021
Rabeprazole Injection IP 20 mg,PE3AA11,"M/s. Pure and Cure Healthcare Pvt. Ltd., Plot No. 26A, 27-30, Sector ? 8A, I.I.E., SIDCUL, Haridwar ? 249 403, Uttarakhand.",01-10-2021
Ranitidine HCl Injection IP 50 mg/2 ml-2ml,SI-727,"M/s. Shivam Enterprises (Pharma Division), Suketi Road, Kala Amb ? 173030, Himachal Pradesh.",01-10-2021
RL (Compound Sodium Lactate Injection I.P. 500 ml) (Ringer Lactate Solution for Injection I.P.),9068,"M/s.Ives Drugs (India) Pvt. Limited, Ghatabillod, Distt. Dhar, Madhya Pradesh.",01-10-2021
"KYCOLD-PLUS Suspension- 60 ml (Paracetamol, Phenylephrine HCl, Chlorpheniramine Maleate, Sodium Citrate & Menthol Suspension)",DL5184,"M/s. Digital Vision, 176, Mauza Ogli, Nahan Road, Kala-Amb, Distt. Sirmour, Himachal Pradesh- 173030.",01-10-2021
Absorbent Cotton Wool I.P.,172,"M/s. Doctor Surgical Works, Plot No. 61, Sector 27-28, HISAR, Haryana.",01-10-2021
Ofloxacin and Ornidazole Tablets I.P.,TI0005A,"M/s. NAVKAR LIFESCIENCES, Plot No.-76, Lodhi Majra, Industrial Area, Baddi, Distt.- Solan Himachal Pradesh.",01-10-2021
Infusion Set,60220,"M/s. R. R. Medicare Products, 3-A, Birpur Industrial Estate, Bari Brahmana, Jammu- 181113.",01-10-2021
Infusion Set,50220,"M/s. R. R. Medicare Products, 3A-Birpur Indl Estate, Bari Brahmana, Jammu- 181113.",01-10-2021
Amikacin Injection I.P. 2ml,GV1A001,"M/s. Scott-Edil Pharmacia Ltd., 56, E.P.I.P. Phase- I, Jharmajri, Baddi, Distt. Solan -173205, Himachal Pradesh.",01-10-2021
Pantoprazole Gastro Resistant Tablets I.P. (P-40),PFT21002MB,"M/s. Sri Ram Healthcare Pvt Ltd, 81- C/2, EPIP-I, Jharmajri, Baddi, Distt. Solan, Himachal Pradesh - 173205.",01-10-2021
Pregabalin Capsules IP,GC210322,"M/s. Theon Pharmaceutical Ltd., Vill. Saini Majra, Tehsil Nalagarh, Dist. Solan, Himachal Pradesh - 174 101.",01-10-2021
Pregabalin Capsules IP 75 mg,T21003,"M/s. Trugen Pharmaceutical Pvt. Ltd., Vill. Tejjupur, Near Chodiala Rly. Station, Roorkee, Dist. Haridwar, Uttarakhandh-247661.",01-10-2021
COMPOUND SODIUM LACTATE INJECTION IP,FFS2005B0114,"M/s. Pharma Impex Laboratories Pvt. Ltd., South Uttarbhag, Ramnagar, Baruipur, Distt. South 24PGS, West Bengal -743387.",01-10-2021
Levetiracetam IP,LEV/10/21,"M/s. Pranshav Health Care, Plot No. 824/16, Near Saint Gobin Glass India Ltd., GIDC, Jhagadia-393110 Gujarat.",01-10-2021
Meropenem Injection IP 500 mg (MEROMAX 500 MG INJECTION),DP1013,"M/s. Scott-Edil Pharmacia Ltd., 56, E.P.I.P., Phase-1, Jharmajri, Baddi, Distt. Solan-173205, Himachal Pradesh.",01-10-2021
Tramadol Hydrochloride and Acetaminophen Tablets USP (DOLOSAFE D TABLETS),NDSD-02102,"M/s. Tidal Laboratories Pvt. Ltd., Patch-5, Phase-II, Gowalthai, Distt. Bilaspur-174201, Himachal Pradesh.",01-10-2021
"Methylcobalamin, Vitamin C, Vitamin E, Beta Carotene, Zinc Sulphate, Sodium Selenite, Chromium Picolinate, Lutein and Lycopene Capsules (OCTOXID CAPSULES)",OTXC-02102,"M/s. Tidal Laboratories Pvt. Ltd., Patch-5, Phase-II, Gowalthai, Distt. Bilaspur-174201, Himachal Pradesh.",01-10-2021
"Pancreatin, Bile Constituents and Activated Dimethicone Tablets (ENZOX PLUS TABLETS)",ENZP-02105-02,"M/s. Tidal Laboratories Pvt. Ltd., Patch-5, Phase-II, Gowalthai, Distt. Bilaspur-174201, Himachal Pradesh.",01-10-2021
NORFLOXACIN TABLETS IP 400 MG,NT802,"M/s. Unicure India Ltd., C-21,22 & 23, Sector-3, Noida-201301, Distt. Gautam Budh Nagar, Uttar Pradesh.",01-10-2021
"DICLOFENAC, VIRGIN LINSEED OIL, METHYL SALICYLATE AND MENTHOL GEL",JZAA02,"M/s. Akums Drugs & Pharmaceuticals Ltd., Plot No. 47,48, Sector-6A, IIE, SIDCUL, Ranipur, Haridwar- 249403, Uttarakhand.",01-10-2021
Absorbent Cotton Wool I.P. (ALTUS),A/2105,"M/s. Altus Surgical Private Limited, 21/D, Mahagujrat Industrial Estate, Opp. Nova Petrochemical, Sarkhej-Bavala Highway, Villg. Moraiya, Changodar - 382210, Ahmedabad, Gujarat.",01-10-2021
